City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,arraial do cabo,-22.9661,-42.0278,25.92,83,75,3.6,BR,1674858476
1,evensk,61.95,159.2333,-16.4,76,92,8.91,RU,1674858553
2,thompson,55.7435,-97.8558,-25.91,64,20,4.12,CA,1674858553
3,marquette,46.5333,-87.6335,-4.81,82,100,5.36,US,1674858554
4,pitimbu,-7.4706,-34.8086,27.33,74,5,4.71,BR,1674858555
5,ransang,8.9603,117.5828,25.48,87,100,2.66,PH,1674858555
6,saldanha,-33.0117,17.9442,18.03,91,0,6.52,ZA,1674858556
7,vaini,-21.2,-175.2,24.09,94,100,3.09,TO,1674858557
8,isangel,-19.55,169.2667,25.06,94,75,1.03,VU,1674858557
9,mahon,39.8885,4.2658,8.31,66,40,6.69,ES,1674858459
10,hilo,19.7297,-155.09,26.17,75,75,3.09,US,1674858350
11,hambantota,6.1241,81.1185,23.71,83,100,4.56,LK,1674858559
12,puerto ayora,-0.7393,-90.3518,28.98,91,73,1.79,EC,1674858167
13,yarmouth,41.7057,-70.2286,3.26,69,0,3.09,US,1674858560
14,busselton,-33.65,115.3333,10.97,82,0,4.79,AU,1674858560
15,ushuaia,-54.8,-68.3,11.81,71,100,5.14,AR,1674858306
16,albany,42.6001,-73.9662,1.36,75,97,0.9,US,1674858561
17,tecoanapa,16.5167,-98.75,28.61,53,22,4.09,MX,1674858562
18,hobart,-42.8794,147.3294,22.37,52,0,4.63,AU,1674858563
19,alofi,-19.0595,-169.9187,29.94,70,92,5.14,NU,1674858563
20,primorka,47.2836,39.0625,-1.44,76,3,5.01,RU,1674858564
21,mehamn,71.0357,27.8492,1.95,87,100,8.69,NO,1674858565
22,cape town,-33.9258,18.4232,21.06,74,0,6.69,ZA,1674858566
23,chokurdakh,70.6333,147.9167,-30.05,97,17,3.88,RU,1674858566
24,udalguri,26.7667,92.1333,16.48,60,2,1.52,IN,1674858567
25,norman wells,65.282,-126.8329,-19.98,77,20,7.72,CA,1674858568
26,lorengau,-2.0226,147.2712,27.44,81,75,4.37,PG,1674858568
27,alcaniz,41.05,-0.1333,1.39,74,17,5.37,ES,1674858569
28,lata,40.1629,-8.3327,6.71,80,3,1.64,PT,1674858570
29,aykhal,66.0,111.5,-34.25,100,100,2.61,RU,1674858570
30,sorland,67.667,12.6934,4.92,67,100,12.32,NO,1674858572
31,kulhudhuffushi,6.6221,73.07,26.59,72,11,4.52,MV,1674858572
32,curuguaty,-24.4694,-55.6945,32.73,34,47,1.82,PY,1674858573
33,torbay,47.6666,-52.7314,1.99,87,75,9.77,CA,1674858415
34,monte plata,18.807,-69.784,27.79,67,21,4.17,DO,1674858574
35,copiapo,-27.3667,-70.3333,17.83,40,0,3.75,CL,1674858461
36,smithers,54.7804,-127.1743,2.18,87,75,4.12,CA,1674858537
37,rikitea,-23.1203,-134.9692,26.12,71,35,5.47,PF,1674858575
38,novo aripuana,-5.1206,-60.3797,24.66,94,70,0.75,BR,1674858576
39,beringovskiy,63.05,179.3167,-9.94,98,100,2.69,RU,1674858577
40,marystown,47.1666,-55.1483,-0.91,74,96,10.14,CA,1674858577
41,bluff,-46.6,168.3333,13.13,62,1,2.26,NZ,1674858578
42,kodiak,57.79,-152.4072,1.73,93,100,0.0,US,1674858578
43,prince rupert,54.3161,-130.3201,6.05,87,100,6.69,CA,1674858579
44,dunedin,-45.8742,170.5036,14.25,62,2,2.83,NZ,1674858547
45,gorom-gorom,14.4439,-0.2361,25.21,15,43,4.83,BF,1674858580
46,tiksi,71.6872,128.8694,-38.21,100,98,1.13,RU,1674858581
47,esperance,-33.8667,121.9,16.45,59,84,2.69,AU,1674858582
48,hamilton,39.1834,-84.5333,7.62,58,100,7.2,US,1674858282
49,yakeshi,49.2833,120.7333,-37.8,100,94,1.04,CN,1674858583
50,matehuala,23.65,-100.65,17.98,39,100,4.9,MX,1674858583
51,inhambane,-23.865,35.3833,24.59,86,35,5.51,MZ,1674858584
52,sambava,-14.2667,50.1667,24.71,93,31,1.66,MG,1674858585
53,luderitz,-26.6481,15.1594,18.18,80,0,7.84,NA,1674858585
54,micheweni,-4.9667,39.8333,26.46,74,2,6.83,TZ,1674858586
55,waitati,-45.75,170.5667,15.13,58,6,2.63,NZ,1674858587
56,ribeira grande,38.5167,-28.7,14.32,76,28,5.81,PT,1674858587
57,port augusta,-32.5,137.7667,24.66,60,90,8.79,AU,1674858588
58,buchanan,5.8808,-10.0467,24.74,89,87,4.7,LR,1674858589
59,mataura,-46.1927,168.8643,15.92,45,0,1.98,NZ,1674858590
60,saint george,37.1041,-113.5841,11.35,35,0,1.34,US,1674858590
61,provideniya,64.3833,-173.3,-13.61,93,75,8.65,RU,1674858591
62,sistranda,63.7256,8.834,4.98,88,100,18.94,NO,1674858408
63,castro,-24.7911,-50.0119,21.82,71,13,1.19,BR,1674858592
64,severo-kurilsk,50.6789,156.125,-3.58,82,94,10.98,RU,1674858593
65,airai,-8.9266,125.4092,16.36,88,100,0.91,TL,1674858593
66,port lincoln,-34.7333,135.8667,20.03,84,100,2.92,AU,1674858594
67,macusani,-14.0833,-70.4333,6.55,78,95,2.62,PE,1674858594
68,bathsheba,13.2167,-59.5167,24.34,73,20,3.09,BB,1674858595
69,mar del plata,-38.0023,-57.5575,22.01,93,75,5.66,AR,1674858537
70,kaisiadorys,54.8667,24.45,-0.58,80,100,2.26,LT,1674858596
71,faya,18.3851,42.4509,9.29,77,4,0.93,SA,1674858597
72,coihaique,-45.5752,-72.0662,14.97,55,75,3.09,CL,1674858598
73,ahipara,-35.1667,173.1667,22.57,84,100,1.75,NZ,1674858598
74,bonavista,48.6499,-53.1147,0.08,74,82,10.39,CA,1674858599
75,husavik,66.0449,-17.3389,-0.56,70,33,7.12,IS,1674858599
76,pevek,69.7008,170.3133,-23.18,84,100,1.54,RU,1674858600
77,hami,42.8,93.45,-8.81,37,1,1.2,CN,1674858601
78,ghiror,27.1833,78.8,8.27,43,0,3.78,IN,1674858601
79,punta arenas,-53.15,-70.9167,11.06,82,100,4.12,CL,1674857848
80,mana,5.6592,-53.7767,23.64,79,87,2.61,GF,1674858602
81,port alfred,-33.5906,26.891,22.32,94,12,1.34,ZA,1674858603
82,namibe,-15.1961,12.1522,23.27,80,98,0.78,AO,1674858604
83,new norfolk,-42.7826,147.0587,22.18,52,98,1.87,AU,1674858605
84,atambua,-9.1061,124.8925,24.65,81,100,0.25,ID,1674858606
85,morondava,-20.2833,44.2833,27.13,81,100,11.13,MG,1674858607
86,jalor,25.35,72.6167,9.35,26,0,3.4,IN,1674858607
87,calabozo,8.9242,-67.4293,29.49,34,100,3.27,VE,1674858608
88,ankola,14.6667,74.3,20.93,49,0,2.49,IN,1674858609
89,cidreira,-30.1811,-50.2056,24.9,81,4,8.7,BR,1674858609
90,qaanaaq,77.484,-69.3632,-18.47,95,100,1.73,GL,1674858610
91,bethel,41.3712,-73.414,3.64,78,100,2.57,US,1674858611
92,kondinskoye,59.6481,67.41,-5.48,97,100,2.47,RU,1674858611
93,nikolskoye,59.7035,30.7861,-4.0,96,30,1.67,RU,1674858612
94,bredasdorp,-34.5322,20.0403,18.29,87,1,1.17,ZA,1674858613
95,challans,46.8436,-1.8749,6.11,76,50,6.1,FR,1674858613
96,nayoro,44.3506,142.4578,-8.66,94,100,1.42,JP,1674858614
97,victoria,22.2855,114.1577,12.36,32,99,6.71,HK,1674858488
98,carnarvon,-24.8667,113.6333,23.82,67,0,9.32,AU,1674858616
99,barrow,71.2906,-156.7887,-28.99,76,0,6.17,US,1674858617
